time/fps,time/iterations,train/value_loss,train/learning_rate,time/total_timesteps,train/policy_loss,time/time_elapsed,train/n_updates,train/explained_variance,train/std,train/entropy_loss,train/reward
656,1900,0.017192527651786804,0.0007,9500,1.4561614990234375,14,1899,0.00132828950881958,1.096050500869751,-15.094395637512207,0.012700644
657,2000,0.058221977204084396,0.0007,10000,-0.9037485122680664,15,1999,0.0,1.1034839153289795,-15.167970657348633,0.1767858
658,2100,0.12813027203083038,0.0007,10500,3.075105905532837,15,2099,-0.017164111137390137,1.1082426309585571,-15.212158203125,0.09050092
658,2200,0.09075170010328293,0.0007,11000,-3.697561740875244,16,2199,5.960464477539063e-08,1.1151201725006104,-15.274545669555664,-0.9540055
659,2300,37.11189651489258,0.0007,11500,-92.7345199584961,17,2299,0.0,1.1177303791046143,-15.29539680480957,-1.142009
659,2400,0.020235929638147354,0.0007,12000,-0.5607344508171082,18,2399,0.2837875485420227,1.1227761507034302,-15.335733413696289,0.02917628
659,2500,0.13053622841835022,0.0007,12500,-5.050207614898682,18,2499,0.18791168928146362,1.1293596029281616,-15.396272659301758,-0.39341852
660,2600,0.03747295215725899,0.0007,13000,-2.518998861312866,19,2599,0.0,1.1392483711242676,-15.480122566223145,0.072889596
660,2700,0.008286863565444946,0.0007,13500,0.996451735496521,20,2699,0.0,1.14031982421875,-15.492025375366211,0.068720266
661,2800,0.5178611874580383,0.0007,14000,-8.637696266174316,21,2799,-1.1920928955078125e-07,1.1456960439682007,-15.534479141235352,0.48348242
661,2900,0.17974522709846497,0.0007,14500,-6.490258693695068,21,2899,-0.7103732824325562,1.1530207395553589,-15.6000337600708,0.19600156
660,3000,0.021855076774954796,0.0007,15000,-0.08905057609081268,22,2999,-1.8705635070800781,1.157466173171997,-15.633936882019043,0.0914684
660,3100,0.018589962273836136,0.0007,15500,-1.6145799160003662,23,3099,0.22184103727340698,1.1711000204086304,-15.752906799316406,0.07536173
660,3200,1.9225060939788818,0.0007,16000,-9.521177291870117,24,3199,0.0,1.176622986793518,-15.797595024108887,-0.1274895
660,3300,0.443254292011261,0.0007,16500,8.16429328918457,24,3299,-0.25941598415374756,1.1782386302947998,-15.81495475769043,-0.12935993
661,3400,0.2544732093811035,0.0007,17000,0.9247857332229614,25,3399,0.0,1.1802393198013306,-15.825818061828613,1.9003431
661,3500,0.2545594573020935,0.0007,17500,5.829683780670166,26,3499,0.0,1.1779026985168457,-15.80931282043457,0.05973796
662,3600,0.05390129238367081,0.0007,18000,-3.0973620414733887,27,3599,-0.2866489887237549,1.185689926147461,-15.872228622436523,0.028788028
662,3700,0.4536961019039154,0.0007,18500,9.697938919067383,27,3699,-0.34202563762664795,1.18974769115448,-15.906854629516602,-0.19080915
662,3800,0.013139893300831318,0.0007,19000,-1.6916288137435913,28,3799,0.29858601093292236,1.1910760402679443,-15.920804977416992,0.050906997
662,3900,1.67865788936615,0.0007,19500,-18.8974666595459,29,3899,5.960464477539063e-08,1.1937236785888672,-15.941696166992188,0.6046669
661,4000,4.253781795501709,0.0007,20000,-27.85330581665039,30,3999,0.0,1.1967018842697144,-15.968072891235352,0.62770385
